calories;proteins;fat;carbohydrate;name
48;1.9;3.2;2.8;Jamur sagu
30;1.9;0.1;5.5;Jamur tiram segar
107;5.3;2.2;16.5;Jangang bintatoeng masakan
31;1.2;0.3;7.1;Jantung Pisang segar
500;1.2;25.1;67.3;Japilus
48;2.5;4.2;0;Jaruk Tigarun
334;9.7;3.5;73.4;Jawawut
381.7;9.5;9.5;65.8;Jenang 
192;5.4;0.3;40.7;Jengkol segar
48;0.6;0.2;12.4;Jeruk Bali
61;0.8;0.2;14.1;Jeruk banjar segar
44;0.8;0.3;10.9;Jeruk Garut
39;0.3;0.3;8.9;Jeruk Kalamansi segar
45;0.9;0.2;11.2;Jeruk Manis
37;0.8;0.1;12.3;Jeruk Nipis
49;0.7;0.2;11.1;Jeruk ragi segar
32;1.9;0.3;7.1;Jotang
15;15.2;4.3;8.8;Jukku pallu kaloa masakan
130;6.7;0.3;25.2;Kabau segar
133;1;0.2;32.2;Kaburan ubi segar
250;2.6;2.5;35.4;Kabuto
356;20.5;4.1;61.6;Kacang Andong
330;23.8;1.4;60.2;Kacang Arab
533;27.8;38.1;28.8;Kacang atom
341;30.4;3.2;51.3;Kacang babi kering
400;34.4;16.9;34.1;Kacang belimbing (kecipir) kering
204;16.9;8.8;17.5;Kacang Belimbing rebus
212;17.5;10;12.9;Kacang Belimbing tempe
118;4.4;1.5;21.6;Kacang beracun segar
479;12.7;23.2;58.9;Kacang Bogor goreng
370;16;6;65;Kacang bogor kering
161;7.7;2.8;27.1;Kacang Bogor rebus
165;7.7;3.1;27.4;Kacang bogor segar
331;25;1;58;Kacang Endel biji
129;12.4;0.7;18.3;Kacang ercis segar
336;23.1;1.7;59.5;kacang galing segar
516;14.7;31.1;44.4;Kacang goyang
336;20.7;1.4;62;Kacang Gude biji
316;20.7;1;58;Kacang gude biji kering
114;7;0.6;20.8;Kacang Gude biji muda
